title,medlineTA,nlmID,indexingStatus,indexingTreatment,indexingDateYear,indexingDateMonth,indexingDateDay
Accounts of chemical research,Acc Chem Res,0157313,Currently-indexed,Selective,1999,11,01
ACS applied materials & interfaces,ACS Appl Mater Interfaces,101504991,Currently-indexed,Selective,2010,03,19
ACS nano,ACS Nano,101313589,Currently-indexed,Selective,2008,11,21
Acta chimica Slovenica,Acta Chim Slov,101247110,Currently-indexed,Selective,2013,03,06
"Acta crystallographica. Section A, Foundations and advances",Acta Crystallogr A Found Adv,101620182,Currently-indexed,Selective,2013,11,19
"Acta crystallographica Section B, Structural science, crystal engineering and materials",Acta Crystallogr B Struct Sci Cryst Eng Mater,101609037,Currently-indexed,Selective,2013,05,28
"Acta crystallographica. Section C, Structural chemistry",Acta Crystallogr C Struct Chem,101620313,Currently-indexed,Selective,2014,01,03
Advances in colloid and interface science,Adv Colloid Interface Sci,8706645,Currently-indexed,Selective,1988,08,03
"Advanced materials (Deerfield Beach, Fla.)",Adv Mater,9885358,Currently-indexed,Selective,2010,02,03
The American economic review,Am Econ Rev,14810500R,Currently-indexed,Selective,1996,04,12
The American University law review,Am Univ Law Rev,9891709,Currently-indexed,Selective,1997,07,18
Anais da Academia Brasileira de Ciências,An Acad Bras Cienc,7503280,Currently-indexed,Selective,1972,02,09
Analytical and bioanalytical chemistry,Anal Bioanal Chem,101134327,Currently-indexed,Selective,2001,12,31
Analytica chimica acta,Anal Chim Acta,0370534,Currently-indexed,Selective,2007,03,13
Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,Anal Sci,8511078,Currently-indexed,Selective,2002,01,01
Annals of science,Ann Sci,0372361,Currently-indexed,Selective,2002,01,01
"Annual review of analytical chemistry (Palo Alto, Calif.)",Annu Rev Anal Chem (Palo Alto Calif),101508602,Currently-indexed,Selective,2010,07,09
Annual review of physical chemistry,Annu Rev Phys Chem,15040080R,Currently-indexed,Selective,1989,06,26
Applied optics,Appl Opt,0247660,Currently-indexed,Selective,2002,02,07
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",Appl Radiat Isot,9306253,Currently-indexed,Selective,1993,03,30
Applied spectroscopy,Appl Spectrosc,0372406,Currently-indexed,Selective,2003,10,23
"Argos (Utrecht, Netherlands)",Argos,9708906,Currently-indexed,Selective,2002,01,01
Berichte zur Wissenschaftsgeschichte,Ber Wiss,7909914,Currently-indexed,Selective,2002,01,01
British journal for the history of science,Br J Hist Sci,0144554,Currently-indexed,Selective,2002,01,01
Canadian bulletin of medical history = Bulletin canadien d'histoire de la médecine,Can Bull Med Hist,101130981,Currently-indexed,Selective,2003,06,03
Canadian review of sociology = Revue canadienne de sociologie,Can Rev Sociol,101320224,Currently-indexed,Selective,2008,07,09
Carbohydrate polymers,Carbohydr Polym,8307156,Currently-indexed,Selective,2012,07,03
"Chaos (Woodbury, N.Y.)",Chaos,100971574,Currently-indexed,Selective,2003,02,06
"Chemistry, an Asian journal",Chem Asian J,101294643,Currently-indexed,Selective,2007,03,13
"Chemical communications (Cambridge, England)",Chem Commun (Camb),9610838,Currently-indexed,Selective,2002,06,06
"Chemical record (New York, N.Y.)",Chem Rec,101085550,Currently-indexed,Selective,2002,02,07
Chemical Society reviews,Chem Soc Rev,0335405,Currently-indexed,Selective,2002,06,06
"Chemistry (Weinheim an der Bergstrasse, Germany)",Chemistry,9513783,Currently-indexed,Selective,2000,01,28
Chemphyschem : a European journal of chemical physics and physical chemistry,Chemphyschem,100954211,Currently-indexed,Selective,2002,10,10
Chimia,Chimia (Aarau),0373152,Currently-indexed,Selective,2010,11,08
Chirality,Chirality,8914261,Currently-indexed,Selective,1990,07,28
Clinical privilege white paper,Clin Privil White Pap,100892390,Currently-indexed,Selective,1999,07,13
Computational biology and chemistry,Comput Biol Chem,101157394,Currently-indexed,Selective,2003,05,27
Cornell journal of law and public policy,Cornell J Law Public Policy,9892180,Currently-indexed,Selective,1998,04,21
Cornell law review,Cornell Law Rev,7703647,Currently-indexed,Selective,1999,02,05
"Dalton transactions (Cambridge, England : 2003)",Dalton Trans,101176026,Currently-indexed,Selective,2004,06,29
"European journal of mass spectrometry (Chichester, England)",Eur J Mass Spectrom (Chichester),101124748,Currently-indexed,Selective,2003,05,02
"The European physical journal. E, Soft matter",Eur Phys J E Soft Matter,101126530,Currently-indexed,Selective,2004,02,26
Faraday discussions,Faraday Discuss,9212301,Currently-indexed,Selective,1992,08,11
Fordham law review,Fordham Law Rev,9891707,Currently-indexed,Selective,1997,07,18
Forensic science international,Forensic Sci Int,7902034,Currently-indexed,Selective,1979,02,06
Guang pu xue yu guang pu fen xi = Guang pu,Guang Pu Xue Yu Guang Pu Fen Xi,9424805,Currently-indexed,Selective,1996,06,13
Health and history,Health History,100888373,Currently-indexed,Selective,2007,03,21
"História, ciências, saúde--Manguinhos",Hist Cienc Saude Manguinhos,9513999,Currently-indexed,Selective,2002,01,01
History of psychiatry,Hist Psychiatry,9013819,Currently-indexed,Selective,2002,01,01
History of psychology,Hist Psychol,9808650,Currently-indexed,Selective,2002,01,01
"History of science; an annual review of literature, research and teaching",Hist Sci,17340520R,Currently-indexed,Selective,2002,01,01
IEEE computer graphics and applications,IEEE Comput Graph Appl,9881869,Currently-indexed,Selective,2004,06,29
IEEE transactions on cybernetics,IEEE Trans Cybern,101609393,Currently-indexed,Selective,2013,05,30
IEEE transactions on image processing : a publication of the IEEE Signal Processing Society,IEEE Trans Image Process,9886191,Currently-indexed,Selective,2004,06,29
IEEE transactions on neural networks and learning systems,IEEE Trans Neural Netw Learn Syst,101616214,Currently-indexed,Selective,2013,09,03
IEEE transactions on pattern analysis and machine intelligence,IEEE Trans Pattern Anal Mach Intell,9885960,Currently-indexed,Selective,2004,06,29
"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",IEEE Trans Ultrason Ferroelectr Freq Control,9882735,Currently-indexed,Selective,2001,02,09
IEEE transactions on visualization and computer graphics,IEEE Trans Vis Comput Graph,9891704,Currently-indexed,Selective,2004,06,29
Inorganic chemistry,Inorg Chem,0366543,Currently-indexed,Selective,2000,10,27
ISA transactions,ISA Trans,0374750,Currently-indexed,Selective,1972,08,09
Issue brief (Health Policy Tracking Service),Issue Brief Health Policy Track Serv,9812946,Currently-indexed,Selective,2000,09,05
Journal of the American Society for Mass Spectrometry,J Am Soc Mass Spectrom,9010412,Currently-indexed,Selective,1998,06,11
Journal of anesthesia history,J Anesth Hist,101651624,Currently-indexed,Selective,2015,02,12
Journal of chemical theory and computation,J Chem Theory Comput,101232704,Currently-indexed,Selective,2015,11,05
Journal of chromatographic science,J Chromatogr Sci,0173225,Currently-indexed,Selective,1972,08,09
Journal of colloid and interface science,J Colloid Interface Sci,0043125,Currently-indexed,Selective,2002,11,04
Journal of computational chemistry,J Comput Chem,9878362,Currently-indexed,Selective,2002,02,07
Journal of fluorescence,J Fluoresc,9201341,Currently-indexed,Selective,2004,11,09
Journal of hazardous materials,J Hazard Mater,9422688,Currently-indexed,Selective,1999,04,19
Journal of the history of biology,J Hist Biol,0202503,Currently-indexed,Selective,2002,01,01
Journal of the history of ideas,J Hist Ideas,00140360R,Currently-indexed,Selective,2002,01,01
"Journal of magnetic resonance (San Diego, Calif. : 1997)",J Magn Reson,9707935,Currently-indexed,Selective,1996,10,17
Journal of mass spectrometry : JMS,J Mass Spectrom,9504818,Currently-indexed,Selective,1996,02,08
Le journal des médecines cunéiformes,J Med Cuneif,101185239,Currently-indexed,Selective,2007,03,21
Journal of microscopy,J Microsc,0204522,Currently-indexed,Selective,1969,06,19
Journal of molecular modeling,J Mol Model,9806569,Currently-indexed,Selective,1999,10,08
Journal of nanoscience and nanotechnology,J Nanosci Nanotechnol,101088195,Currently-indexed,Selective,2003,06,12
"Journal of the Optical Society of America. A, Optics, image science, and vision",J Opt Soc Am A Opt Image Sci Vis,9800943,Currently-indexed,Selective,1997,12,17
The journal of physical chemistry. A,J Phys Chem A,9890903,Currently-indexed,Selective,2005,11,23
The journal of physical chemistry. B,J Phys Chem B,101157530,Currently-indexed,Selective,2005,11,23
The journal of physical chemistry letters,J Phys Chem Lett,101526034,Currently-indexed,Selective,2015,08,10
Journal of physics. Condensed matter : an Institute of Physics journal,J Phys Condens Matter,101165248,Currently-indexed,Selective,2010,11,08
Journal of separation science,J Sep Sci,101088554,Currently-indexed,Selective,2004,06,29
Journal of synchrotron radiation,J Synchrotron Radiat,9888878,Currently-indexed,Selective,2001,06,22
Journal of texture studies,J Texture Stud,0252052,Currently-indexed,Selective,2017,03,20
KOS,Kos,9424952,Currently-indexed,Selective,2002,01,01
Lab on a chip,Lab Chip,101128948,Currently-indexed,Selective,2004,02,25
Langmuir : the ACS journal of surfaces and colloids,Langmuir,9882736,Currently-indexed,Selective,2004,06,29
Magnetic resonance in chemistry : MRC,Magn Reson Chem,9882600,Currently-indexed,Selective,2004,06,24
Marburger Schriften zur Medizingeschichte,Marbg Schrift Medgesch,8413234,Currently-indexed,Selective,2002,01,01
Mass spectrometry reviews,Mass Spectrom Rev,8219702,Currently-indexed,Selective,1997,10,23
Methods and applications in fluorescence,Methods Appl Fluoresc,101608648,Currently-indexed,Selective,2016,11,21
Michigan law review,Mich Law Rev,7703728,Currently-indexed,Selective,1996,04,12
"Micron (Oxford, England : 1993)",Micron,9312850,Currently-indexed,Selective,1994,06,02
"Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada",Microsc Microanal,9712707,Currently-indexed,Selective,2002,12,17
Microscopy research and technique,Microsc Res Tech,9203012,Currently-indexed,Selective,1991,12,04
"Microscopy (Oxford, England)",Microscopy (Oxf),101595834,Currently-indexed,Selective,2013,04,26
Nano letters,Nano Lett,101088070,Currently-indexed,Selective,2005,03,08
Nanoscale,Nanoscale,101525249,Currently-indexed,Selective,2010,07,09
Nanotechnology,Nanotechnology,101241272,Currently-indexed,Selective,2009,03,24
Nature chemistry,Nat Chem,101499734,Currently-indexed,Selective,2010,03,19
Nature materials,Nat Mater,101155473,Currently-indexed,Selective,2003,02,06
Nature nanotechnology,Nat Nanotechnol,101283273,Currently-indexed,Selective,2008,03,20
NCSL legisbrief,NCSL Legisbrief,101092658,Currently-indexed,Selective,2001,07,18
Neuere Medizin- und Wissenschaftsgeschichte,Neuere Med Wiss Quellen Stud,9605423,Currently-indexed,Selective,2002,01,01
Neural computation,Neural Comput,9426182,Currently-indexed,Selective,1995,10,16
"Nonlinear dynamics, psychology, and life sciences",Nonlinear Dynamics Psychol Life Sci,9704130,Currently-indexed,Selective,2003,06,17
NTM,NTM,0347631,Currently-indexed,Selective,2002,01,01
Optics express,Opt Express,101137103,Currently-indexed,Selective,2008,05,27
Optics letters,Opt Lett,7708433,Currently-indexed,Selective,2003,02,06
Organic & biomolecular chemistry,Org Biomol Chem,101154995,Currently-indexed,Selective,2003,06,12
Organic letters,Org Lett,100890393,Currently-indexed,Selective,2000,01,28
"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Philos Trans A Math Phys Eng Sci,101133385,Currently-indexed,Selective,2002,11,25
Photochemistry and photobiology,Photochem Photobiol,0376425,Currently-indexed,Selective,1964,11,20
Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,Photochem Photobiol Sci,101124451,Currently-indexed,Selective,2003,02,06
Physical chemistry chemical physics : PCCP,Phys Chem Chem Phys,100888160,Currently-indexed,Selective,2005,04,14
Physical review. E,Phys Rev E,101676019,Currently-indexed,Selective,2016,02,16
Physical review letters,Phys Rev Lett,0401141,Currently-indexed,Selective,2000,08,16
Progress in nuclear magnetic resonance spectroscopy,Prog Nucl Magn Reson Spectrosc,9886009,Currently-indexed,Selective,2010,07,09
"Public understanding of science (Bristol, England)",Public Underst Sci,9306503,Currently-indexed,Selective,2002,01,01
Rapid communications in mass spectrometry : RCM,Rapid Commun Mass Spectrom,8802365,Currently-indexed,Selective,1991,10,28
Recent patents on nanotechnology,Recent Pat Nanotechnol,101291922,Currently-indexed,Selective,2008,11,21
Reports on progress in physics. Physical Society (Great Britain),Rep Prog Phys,19620690R,Currently-indexed,Selective,2012,03,08
Review of law and social change. New York University,Rev Law Soc Change,100883489,Currently-indexed,Selective,1998,12,30
The Review of scientific instruments,Rev Sci Instrum,0405571,Currently-indexed,Selective,2007,03,14
Revue de la Société française d'histoire des hôpitaux,Rev Soc Fr Hist Hop,9805018,Currently-indexed,Selective,2002,01,01
Revue de synthèse,Rev Synth,8711586,Currently-indexed,Selective,2002,01,01
Risk analysis : an official publication of the Society for Risk Analysis,Risk Anal,8109978,Currently-indexed,Selective,1987,06,17
Science advances,Sci Adv,101653440,Currently-indexed,Selective,2016,03,23
Science in context,Sci Context,8904113,Currently-indexed,Selective,2002,01,01
Scientific data,Sci Data,101640192,Currently-indexed,Selective,2015,05,18
Science & justice : journal of the Forensic Science Society,Sci Justice,9508563,Currently-indexed,Selective,1994,11,09
Scientific reports,Sci Rep,101563288,Currently-indexed,Selective,2012,05,10
The Science of the total environment,Sci Total Environ,0330500,Currently-indexed,Selective,1973,02,22
TheScientificWorldJournal,ScientificWorldJournal,101131163,Currently-indexed,Selective,2002,02,07
Se pu = Chinese journal of chromatography,Se Pu,9424804,Currently-indexed,Selective,1996,06,13
"Sensors (Basel, Switzerland)",Sensors (Basel),101204366,Currently-indexed,Selective,2012,01,17
Seton Hall law review,Seton Hall Law Rev,100892382,Currently-indexed,Selective,1999,07,13
"Small (Weinheim an der Bergstrasse, Germany)",Small,101235338,Currently-indexed,Selective,2006,11,14
Social science research,Soc Sci Res,0330501,Currently-indexed,Selective,2002,01,01
Social studies of science,Soc Stud Sci,7506743,Currently-indexed,Selective,2002,01,01
Soft matter,Soft Matter,101295070,Currently-indexed,Selective,2014,03,07
Soft robotics,Soft Robot,101623819,Currently-indexed,Selective,2017,11,20
Solid state nuclear magnetic resonance,Solid State Nucl Magn Reson,9306181,Currently-indexed,Selective,1994,06,02
"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",Spectrochim Acta A Mol Biomol Spectrosc,9602533,Currently-indexed,Selective,1997,02,13
Stanford law review,Stanford Law Rev,7703790,Currently-indexed,Selective,1996,04,26
State legislatures,State Legis,100890177,Currently-indexed,Selective,1999,06,02
Studies in history and philosophy of science,Stud Hist Philos Sci,1250602,Currently-indexed,Selective,2002,01,01
Talanta,Talanta,2984816R,Currently-indexed,Selective,2008,03,20
Technology and culture,Technol Cult,21120500R,Currently-indexed,Selective,2002,01,01
Topics in current chemistry (Cham),Top Curr Chem (Cham),101691301,Currently-indexed,Selective,2016,08,29
Tort trial & insurance practice law journal,Tort Trial Insur Pract Law J,101180799,Currently-indexed,Selective,2003,06,03
Ŭi sahak,Uisahak,9605018,Currently-indexed,Selective,2002,01,01
Ultramicroscopy,Ultramicroscopy,7513702,Currently-indexed,Selective,1977,06,17
Ultrasonics sonochemistry,Ultrason Sonochem,9433356,Currently-indexed,Selective,1996,06,13
Ultrasonics,Ultrasonics,0050452,Currently-indexed,Selective,1964,11,20
Windows in time,Windows Time,9607541,Currently-indexed,Selective,2002,01,01
"Zhonghua yi shi za zhi (Beijing, China : 1980)",Zhonghua Yi Shi Za Zhi,8303081,Currently-indexed,Selective,2002,01,01
